name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Chega de Saudade,Rosa Morena,2v0e82jPJ6kjipDhCKu0Aq,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,0dWOiVQwoUYTtXD0VVgmJQ,48.0,121986.0,0.0327,0.647,0.0,0.166,4.0,0.563,-16.004,0.743,0.0,0.242,87.771
Futuros Amantes,Chico Buarque Essencial (Box),4gafiyqvGbedBLQku5vFQQ,Chico Buarque,6tOsSffQQIXmK8TqsDck8t,6sbrjXKaQJWJvcnHCeEwcs,50.0,210773.0,0.0344,0.191,1.0,0.123,4.0,0.378,-10.368,0.882,0.000122,0.346,84.069
Sorte,Sorte,6zjlLpKWlTOedQcBlJbuNh,Ney Matogrosso,2SFIMUkCdZowbeisskDdhn,6yHqnquTGEC6ABIRfrBp6x,56.0,184569.0,0.0298,0.443,1.0,0.107,7.0,0.616,-10.627,0.862,0.0,0.154,104.261
Chuva de Prata - Ao Vivo,A Pele do Futuro Ao Vivo,1LpG0vjBhKLcUOcgGlPJ1a,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,4vrW1O3nZJM8QQN8gzXubU,51.0,229864.0,0.0379,0.36,1.0,0.71,0.0,0.64,-9.741,0.681,9.95e-06,0.441,103.061
Se Eu Quiser Falar Com Deus,Se Eu Quiser Falar Com Deus,6IIhhDMiY6Abab01TmzLiV,Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,6j7cLMzPmnmlP5f6qQk9Cl,59.0,275882.0,0.0483,0.134,1.0,0.355,2.0,0.572,-11.712,0.941,8.41e-05,0.109,96.227
Bom-Senso,Racional (Vol 1),7J9wATH6I891OTHteIWSEj,Tim Maia,0jOs0wnXCu1bGGP7kh5uIu,7j2ExpvZTeURjspK443YKU,58.0,305693.0,0.0615,0.484,0.0,0.307,11.0,0.447,-4.942,0.237,0.0,0.685,99.892
Aquele Abraço,Gilberto Gil (1969),2n53trx8uY62aC5Z4fDWSO,Gilberto Gil,7oEkUINVIj1Nr3Wnj8tzqr,0L7urInJWJwBXrVeunHwCU,3.0,323626.0,0.136,0.951,1.0,0.242,2.0,0.481,-9.65,0.341,0.0,0.621,84.916
O Que É Que Há,O Que É Que Há,5GY5057U8mZPzaqLXZj8Sa,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,4UPhXYKlkMcmGqoEamcABC,50.0,225713.0,0.0342,0.251,1.0,0.0887,2.0,0.343,-10.235,0.943,0.0,0.177,84.318
Clube Da Esquina Nº2 - Acústico,Nada Será Como Antes (Acústico),2qaxc8FAGYDRW5toXaPuVc,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,4ACqPYXQse8c8dllQmOmBp,55.0,270690.0,0.0347,0.21,1.0,0.102,9.0,0.406,-11.828,0.936,7.92e-06,0.219,143.557
Carnavália - Ao Vivo,Carnavália (Ao Vivo),205INdvEuLF2IfLOA3yTOl,Tribalistas,4laQz4PaKeh2Hu6QL6evVD,5YpDmhY73LENoh0JMEvEZV,50.0,270029.0,0.0552,0.365,0.0,0.987,11.0,0.498,-6.644,0.444,0.00283,0.887,81.9
